UserId,MFAMethod,CreatedAt,ClientIP,Application,Browser,OS,Unit,Title
U0094,SMS,2025-07-01 00:12:10.322063840,49.13.243.75,Analytics,Chrome,Windows 11,Bilgi İşlem,İnsan Kaynakları Uzmanı
U0048,Mail,2025-07-01 00:14:17.598717311,172.21.99.108,DataLake UI,Chrome,iOS,Satınalma,Ürün Sahibi
U0059,SMS,2025-07-01 00:38:50.656200976,172.16.104.3,DocManager,Edge,Windows 11,Operasyon,Veri Bilimci
U0059,SMS,2025-07-01 00:52:00.398499021,172.29.249.135,DocManager,Edge,macOS,Operasyon,Veri Bilimci
U0120,SMS,2025-07-01 01:07:13.045406628,172.27.31.70,Project Tracker,Firefox,Windows 10,Muhasebe,Yazılım Geliştirici
U0048,Mail,2025-07-01 02:00:35.001666366,172.21.99.108,DataLake UI,Chrome,Windows 11,Satınalma,Ürün Sahibi
U0044,Biometric,2025-07-01 02:19:11.122705629,192.168.118.78,Inventory,Chrome,Windows 10,Satış,Ürün Yöneticisi
U0114,Mail,2025-07-01 02:22:40.981820243,36.110.53.6,HR System,Firefox,Windows 10,Muhasebe,Yazılım Geliştirici
U0117,Push,2025-07-01 02:45:00.341559951,192.168.79.245,Analytics,Chrome,Windows 10,Satış,Mühendis
U0100,Push,2025-07-01 02:59:36.578071176,10.116.255.98,Project Tracker,Chrome,Ubuntu Linux,Bilgi İşlem,Analist
U0093,SMS,2025-07-01 03:19:02.455182116,10.75.101.224,CRM,Chrome,Windows 11,İK,Operasyon Yöneticisi
U0092,Push,2025-07-01 03:25:54.607798728,172.30.45.106,Project Tracker,Edge,Android,Satınalma,Test Uzmanı
U0026,OTP,2025-07-01 04:03:37.291423913,10.218.103.129,Inventory,Chrome,Windows 10,İK,Satış Müdürü
U0044,Biometric,2025-07-01 04:24:37.340781098,192.168.210.66,Inventory,Chrome,Windows 10,Satış,Ürün Yöneticisi
U0044,TOTP,2025-07-01 05:07:19.423812126,192.168.118.78,Inventory,Chrome,Windows 10,Satış,Ürün Yöneticisi
U0052,EmailLink,2025-07-01 05:22:07.355119347,10.191.81.134,Inventory,Chrome,Windows 11,Satış,Ürün Yöneticisi
U0011,Push,2025-07-01 05:26:05.666703039,10.79.49.183,TimeTracker,Chrome,iOS,İK,Analist
U0040,SMS,2025-07-01 05:34:46.811879007,172.22.155.131,HR System,Chrome,Windows 11,İK,Operasyon Yöneticisi
U0133,OTP,2025-07-01 05:51:22.694644317,192.168.35.49,DocManager,Chrome,iOS,Lojistik,Destek Uzmanı
U0011,OTP,2025-07-01 05:52:55.293218224,10.110.116.242,TimeTracker,Brave,iOS,İK,Analist
U0104,TOTP,2025-07-01 05:58:39.160277601,192.168.79.245,Inventory,Chrome,Windows 10,Satış,Mühendis
U0011,OTP,2025-07-01 06:05:06.589553101,10.175.165.202,TimeTracker,Chrome,iOS,İK,Analist
U0040,SMS,2025-07-01 06:05:24.147258558,10.75.101.224,HR System,Chrome,Windows 11,İK,Operasyon Yöneticisi
U0137,SMS,2025-07-01 06:07:48.308406736,172.21.62.31,DocManager,Chrome,macOS,Pazarlama,Uzman
U0011,OTP,2025-07-01 06:12:17.186869792,203.81.80.244,TimeTracker,Chrome,iOS,İK,Analist
U0032,SMS,2025-07-01 06:18:23.880368118,172.24.188.215,HelpDesk,Chrome,Windows 10,Hukuk,Operasyon Yöneticisi
U0026,SMS,2025-07-01 06:28:34.408806690,10.226.195.125,Inventory,Chrome,Windows 10,İK,Satış Müdürü
